Artikelnummer;Produktname;Beschreibung;ProduktURL;EAN;BildURL;Produktgruppe;PreisEuro;Herstellername;Versandkosten;Herstellernummer;Lieferzeit;Direktkauffreigabe;Lagerbestand;Versandart;Grundpreis;Freigegebene Stueckzahl
70902337;Ohrringe vergoldet aus 925 Silber mit Zirkonia;vergoldete Damenohrringe mit Zirkonia, 925 Silber;https://www.kaufbei.tv/Kaufbei-Schmuck/Ohrringe-vergoldet-in-925-Silber-mit-Zirkonia-Kaufbei-Schmuck-oxid-4.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;;https://www.kaufbei.tv/out/pictures/master/product/1/kaufbei_schmuck_70902337.jpg;Kaufbei Schmuck > Ohrringe;45,00;SOKOLOV Schmuck & Jewelry;5,90;93020898;1-4 Tage;;29;Paketdienst;;29
70138490;Aquacreme Instant Matt, \"Saubere Linie\", 50 ml;Aquacreme Instant Matt, \"Saubere Linie\", 50 ml;https://www.kaufbei.tv/Kaufbei-Drogerie-Beauty/Aqua-Creme-fuer-fettige-und-Mischhaut-Saubere-Linie-50-ml.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4600702091434;https://www.kaufbei.tv/out/pictures/master/product/1/1608031138c29190e2337bdf7e71010ab6996bbb0a-f.png;Kaufbei Drogerie & Beauty;6,82;Chistaja Linija | Чистая Линия;5,90;;1-4 Tage;;99;Paketdienst;0,14€/ml;99
70136347;Flachmann \"Reichtum und Wohlstand\", 210 ml;Flachmann \"Reichtum und Wohlstand\", 210 ml;https://www.kaufbei.tv/Kaufbei-Kueche-Haushalt/Kuechenzubehoer/Flaschen-Kannen/Flachmann-210-ml.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4250757714842;https://www.kaufbei.tv/out/pictures/master/product/1/1554806303f00002997-898552905-f.jpg;Flaschen & Kannen;6,99;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70135752;Maske \"Schneemädchen\" aus Karton, mit Gummiband;Maske \"Schneemädchen\" aus Karton, mit Gummiband;https://www.kaufbei.tv/Weihnachten-und-Silvester/Maske-Schneemaedchen-28-5-x-24-5-cm-mit-Gummiband-aus-Karton-oxid.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4250757728900;https://www.kaufbei.tv/out/pictures/master/product/1/1542186764137a55598bea53537381f7c6acda0b71-f.png;Kaufbei Feiertage > Weihnachten und Silvester;2,49;unbekannt;5,90;8985236816;1-4 Tage;;36;Paketdienst;;36
70812279;Panzerkette 375/- Gelbgold;;https://www.kaufbei.tv/Kaufbei-Schmuck/Panzerkette-375-Gelbgold-375-Gelbgold-9K-19-0-cm-oxid-2.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4032410071741;https://www.kaufbei.tv/out/pictures/master/product/1/1603730437parentpa80844.jpg;Kaufbei Schmuck;194,00;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70812279;Panzerkette 375/- Gelbgold;;https://www.kaufbei.tv/Kaufbei-Schmuck/Panzerkette-375-Gelbgold-375-Gelbgold-9K-19-0-cm-oxid-2.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4032410071741;https://www.kaufbei.tv/out/pictures/master/product/1/1603730437parentpa80844.jpg;Kaufbei Schmuck > Halsschmuck;194,00;unbekannt;5,90;;1-4 Tage;;99;Paketdienst;;99
70810030;Ohrhänger aus 585 Rotgold mit Achat und Zirkonia;Ohrhänger, Rotgold 585, Achat, Zirkonia, Höhe ca. 17 mm;https://www.kaufbei.tv/Kaufbei-Schmuck/Ohrringe/Ohrhaenger-mit-Agat-und-Zirkonia-Kaufbei-Schmuck.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4260404832737;https://www.kaufbei.tv/out/pictures/master/product/1/70810030-724793_oh_saphirsyn._17mm_218gr_neu.jpg;Kaufbei Schmuck > Ohrringe;222,00;unbekannt;5,90;724794;1-4 Tage;;99;Paketdienst;;99
70200494;Aprikosenkerne süß, getrocknet, 200 g;;https://www.kaufbei.tv/Kaufbei-Lebensmittel/Obst-Gemuese/Trockenfruechte-Kerne/Aprikosenkerne-Suess-getrocknet-200g.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4780036230478;https://www.kaufbei.tv/out/pictures/master/product/1/gewrze_kaufbei_aprikosen_aprikose_kerne_getrocknet_plov_plow_s_kochen.jpg;Trockenfrüchte & Kerne;3,99;unbekannt;5,90;3050;1-4 Tage;;9;Paketdienst;2,00€/g;9
70138261;Intensiv pflegendes Gesichtscremeöl \"Fito Kosmetik\" mit Hagebuttenöl, Hafermilch und Erdbeerextrakt;;https://www.kaufbei.tv/Kaufbei-Drogerie-Beauty/Gesichtscreme-Fito-Kosmetik-Hagebuttenoel-Hafermilch-und-Erdbeerextrakt-45-ml.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;4670017925380;https://www.kaufbei.tv/out/pictures/master/product/1/1608031053406d8100e3eeda3c2124678e1de1f957-f.png;Kaufbei Drogerie & Beauty;3,36;Fito Kosmetik;5,90;;1-4 Tage;;99;Paketdienst;0,07€/ml;99
70200472;Maitake Plus - 60 Kapseln;;https://www.kaufbei.tv/Kaufbei-Lebensmittel/Maitake-Plus-60-Kapseln.html?utm_source=idealo&utm_medium=cpc&utm_campaign=link;;https://www.kaufbei.tv/out/pictures/master/product/1/kaufbei_maitake_plus.jpg;Kaufbei Lebensmittel;10,99;unbekannt;5,90;344;1-4 Tage;;99;Paketdienst;0,18€/Stück;99
